Date;Site;Designation;ID;X;Y;Elevation (m);Change in water level per minute (cm/min);IC (cm/min);IC (cm/h);IC (m/h);IC (m/j);IC (mm/min);IC (mm/h);IC (mm/y);VWC (%);PER (µS);Landform;Vegetation;Lithology;Description
08.11.2022;Listi village;I4;Listi village;85.87149;27.89309;2297;1.03;0.45;26.91;0.2691;6.5;4.5;269.1;2.4;nan;nan;fresh plotted terrace;nan;nan;
08.11.2022;Listi road;I1;Listi road 1;85.86401;27.89422;nan;0.35;0.15;9.19;0.0919;2.2;1.5;91.9;0.8;nan;nan;ridge;nan;nan;
08.11.2022;Listi road;I2;Listi_ridge;85.86414;27.89467;nan;0.16;0.07;4.27;0.0427;1.0;0.7;42.7;0.4;"17.4
17.0";"1.389
1.382";ridge;nan;nan;
08.11.2022;Listi road;I3;Listi road 3;85.863694;27.894081;2338;0.16;0.07;4.07;0.0407;1.0;0.7;40.7;0.4;nan;nan;ridge;nan;nan;
09.11.2022;Gumba tophill;;Gumba tophill;85.8776;27.90985;2941;6.2;2.71;162.75;1.6275;39.1;27.1;1627.5;14.3;23.2;1.475;tophill;forest dense;nan;Manip non validée
09.11.2022;Gumba midpoint ERT;;Gumba midpoint ERT;85.8772;27.90957;2933;0.30;0.13;7.88;0.0788;1.9;1.3;78.8;0.7;"32.1
30.0";"1.613
1.579";downhill on ridge;grass, bushes, trees;fractures from Ghorka earthquake;
09.11.2022;Meadow;M3;Meadow 3;85.873874;27.909324;nan;0.18;0.08;4.59;0.0459;1.1;0.8;45.9;0.4;"31.9
21.8
32.9
22.0
24.6";"1.611
1.453
1.627
1.457
1.497";meadow;trees, bushes;nan;
09.11.2022;Meadow;M1;Meadow;85.87386;27.90816;2757;0.08;0.03;1.97;0.0197;0.5;0.3;19.7;0.2;"5.4
30.8
17.9
29.7
33.3";"1.197
1.391
1.396
1.572
1.631";meadow;grass, bushes;nan;
09.11.2022;Meadow;M2;Meadow 2;;;nan;5.00;2.19;131.25;1.3125;31.5;21.9;1312.5;11.5;"31.5
32.9
40.0
35.8
35.8";"1.608
1.625
1.761
1.679
1.674";;;;
10.11.2022;Listi road;;Listi road 4;85.86591;27.89348;2296;1.40;0.61;36.75;0.3675;8.8;6.1;367.5;3.2;"13.8
5.1
12.6
15.3";"1.335
1.192
1.317
1.357";Gully filled vegetation;trees ;nan;
10.11.2022;Listi road;Lush forest;Listi road_Lush forest;85.86112;27.89657;2310;0.78;0.34;20.4;0.2040;4.9;3.4;204.0;1.8;"26.7
12.7
25.2
17.2";"1.527
1.318
1.504
1.386";lush forest;nan;nan;
10.11.2022;Listi road;Listi_Filled gully;Listi_Filled gully;85.8661;27.89346;2296;0.11;0.05;2.95;0.0295;0.7;0.5;29.5;0.3;"29.0
27.1
34.3
26.7
27.1";"1.563
1.534
1.649
1.519
1.542";Filled gully;nan;nan;
10.11.2022;Listi road;Gully terrace;Listi_Gully terrace;85.86194;27.89654;2262;0.10;0.04;2.63;0.0263;0.6;0.4;26.3;0.2;"12.4
17.2
21.6
21.9";"1.312
1.385
1.442
1.455";Gully, terraces;nan;nan;
10.11.2022;Listi road;;Listi road 5;85.86121;27.90265;2316;0.05;0.02;1.31;0.0131;0.3;0.2;13.1;0.1;"37.5
29.0
34.3
36.9";"1.702
1.563
1.648
1.692";lush forest;nan;nan;
11.11.2022;Outcrop;I103;Outcrop 103;85.87919;27.87886;1480;1.38;0.60;36.09;0.3609;8.7;6.0;360.9;3.2;"3.2
2.8
1.5
1.8
1.1";"1.157
1.49
1.122
1.129
1.116";ridge;grass, bushes;"very dry soil
pebbles deposits";
11.11.2022;Outcrop;I102;Outcrop 102;85.88084;27.87777;1453;0.83;0.36;21.66;0.2166;5.2;3.6;216.6;1.9;"6.8
4.7
3.6
6.0
5.7";"1.222
1.184
1.164
1.208
1.203";ridge;grass, bushes, trees;old terrace with boulders deposits;
11.11.2022;Outcrop;I104;Outcrop 104;85.88309;27.87669;1442;0.73;0.32;19.03;0.1903;4.6;3.2;190.3;1.7;"5.1
5.9
7.8
9.2
5.3";"1.191
1.207
1.238
1.261
1.196";ridge;grass, bushes;nan;
11.11.2022;Outcrop;I101;Outcrop 101;85.87989;27.87761;1408;0.53;0.23;13.78;0.1378;3.3;2.3;137.8;1.2;"8.4
8.8
3.1
12.9
10.9";"1.249
1.256
1.155
1.321
1.291";hollow, gully;forest (ferns);nan;
11.11.2022;Outcrop;I100;Outcrop 100;85.87982;27.87775;1389;0.40;0.18;10.5;0.1050;2.5;1.8;105.0;0.9;"21.5
36.3
32.7
31.9
30.1";"1.450
1.679
1.621
1.607
1.579";hollow, gully;forest (ferns);nan;
12.11.2022;Outlet;;Outlet_fresh harvest terrace 2;85.87893;27.86901;1153;1.73;0.75;45.28;0.4528;10.9;7.5;452.8;4.0;;;fresh harvested terrace;nan;nan;
12.11.2022;Outlet;;Outlet_fresh harvest terrace 1;85.88052;27.87164;1111;0.38;0.16;9.84;0.0984;2.4;1.6;98.4;0.9;"23.7
23.7
22.8
16.1
10.6";"1.483
1.483
1.468
1.369
1.282";fresh harvested terrace;nan;nan;
12.11.2022;Outlet_old terrace;I200;Outlet_old terrace;85.88113;27.87332;1090;0.30;0.13;7.88;0.0788;1.9;1.3;78.8;0.7;"13.2
5.4
7.7
14.4
8.9";"1.326
1.191
1.238
1.344
1.256";terrace unused;litter;nan;
13.11.2022;Outlet_forest;;Outlet_forest;85.88083333;27.8738889;1130;2.05;0.90;53.81;0.5381;12.9;9.0;538.1;4.7;"6.4
4.5
8.5
4.4
6.9";"1.215
1.182
1.250
1.179
1.225";nan;nan;nan;
13.11.2022;Outlet_landslide 2;;Outlet_landslide 2;85.88002;27.87051;1152;0.40;0.18;10.5;0.1050;2.5;1.8;105.0;0.9;"11.3
8.7
5.1
11.0
7.3";"1.296
1.253
1.191
1.291
1.229";nan;nan;nan;
13.11.2022;Outlet_landslide 1;;Outlet_landslide 1;85.87984;27.87071;nan;0.38;0.16;9.84;0.0984;2.4;1.6;98.4;0.9;"3.8
8.9
6.5
8.0
6.4";"1.169
1.258
1.216
1.242
1.215";landslide;nan;landslide's deposits;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
